distance x y z pitch roll
0.0888402 0.0901963 0.119328 0.010954 -0.0124598 -5.49216
0.0888817 0.0902363 0.119778 0.0108761 0.0283516 -5.44857
0.0889072 0.09026 0.120217 0.0107816 0.0821912 -5.3974
0.088925 0.0902782 0.12066 0.0106717 0.136382 -5.32621
0.0889303 0.0902842 0.121059 0.0105379 0.21749 -5.26896
0.0889213 0.0902774 0.121471 0.0103946 0.293188 -5.17643
0.0888987 0.0902548 0.121846 0.0102333 0.397899 -5.09528
0.0888683 0.0902263 0.122221 0.0100479 0.496258 -4.99442
0.0888199 0.0901787 0.122565 0.00985206 0.620925 -4.89799
0.0887611 0.0901226 0.122915 0.00964356 0.742115 -4.78217
0.0886918 0.090055 0.123225 0.00942187 0.892081 -4.67509
0.088616 0.0899825 0.123536 0.00918605 1.0393 -4.55016
0.0885334 0.0899036 0.123801 0.00893339 1.21256 -4.44014
0.0884375 0.0898126 0.124072 0.00867154 1.37737 -4.29981
0.088331 0.0897096 0.124304 0.00839583 1.56842 -4.17058
0.0882112 0.0895936 0.124517 0.00810717 1.76681 -4.03616
0.0880852 0.0894728 0.124731 0.0078043 1.96036 -3.88691
0.0879524 0.0893449 0.124898 0.00749348 2.18165 -3.74492
0.0878144 0.0892131 0.125065 0.00716838 2.39722 -3.58787
0.0876712 0.0890756 0.125183 0.00683684 2.63971 -3.43786
0.0875175 0.0889281 0.125279 0.0064945 2.88788 -3.28311
0.087359 0.0887768 0.125374 0.00613772 3.1288 -3.11591
0.0871957 0.0886207 0.12542 0.00577698 3.39537 -2.95454
0.0870561 0.0884875 0.125553 0.00545798 3.6146 -2.81249
0.0869564 0.0883935 0.125823 0.0051896 3.76539 -2.68886
0.0868937 0.0883359 0.126182 0.00496028 3.883 -2.57864
0.0868603 0.0883063 0.126577 0.00476971 3.99896 -2.49285
0.0868454 0.0882952 0.12704 0.00459947 4.08467 -2.40721
0.0868525 0.0883058 0.127545 0.00444502 4.15825 -2.32859
0.0868795 0.0883355 0.12806 0.00431119 4.23796 -2.26661
0.0869183 0.088377 0.128616 0.00419003 4.29797 -2.20279
