distance fxForeLeft fyForeLeft fxHindLeft fyHindLeft fxForeRight fyForeRight fxHindRight fyHindRight
0.0880632 0 0 3.52684 12.1623 2.36746 20.2102 512 1.91114e-14
0.088165 512 1.91114e-14 3.36247 11.4066 2.39758 19.6304 0 0
0.0882664 0 0 3.38364 10.6212 2.21693 17.2363 0 0
0.0883585 0 0 3.64647 11.1691 2.23946 16.7467 512 1638.4
0.0884415 512 1.91114e-14 3.57192 11.0261 2.43239 17.8684 1.49502e-13 1638.4
0.0885208 0 0 3.51635 10.1599 2.34113 15.9134 0 0
0.0885933 0 0 3.6988 10.1074 2.42481 15.8232 512 1.91114e-14
0.0886662 512 1.91114e-14 2.82419 7.56668 2.52203 16.1009 0 0
0.0887255 0 0 2.61581 6.64516 2.4929 14.8089 512 1.91114e-14
0.0887824 0 0 2.36249 5.17698 2.43925 13.2509 0 0
0.0888402 512 1.91114e-14 6.4 0.210656 2.41565 12.5918 0 0
0.0888817 0 0 928 0.225 2.36676 11.621 512 1.91114e-14
0.0889072 0 0 928 0.225 2.42687 11.3677 512 1.91114e-14
0.088925 0 0 928 0.225 2.46414 10.5534 0 0
0.0889303 921.6 57.6 921.6 0.225 2.59326 12.3292 512 1.91114e-14
0.0889213 0 0 921.6 0.225 2.52095 10.3218 0 0
0.0888987 0 0 921.6 0.225 2.61756 10.6193 921.6 57.6
0.0888683 921.6 57.6 921.6 0.225 2.69195 11.0441 0 0
0.0888199 0 0 0 0 2.74623 10.6478 2.66438e-14 1638.4
0.0887611 0 0 0 0 2.81108 9.78611 0 0
0.0886918 0 0 0 0 2.82017 9.70079 2.66438e-14 1638.4
0.088616 0 0 0 0 2.87841 8.96319 0 0
0.0885334 2.66438e-14 1638.4 0 0 2.89842 10.2745 921.6 57.6
0.0884375 0 0 0 0 2.90382 8.6451 0 0
0.088331 0 0 0 0 2.94664 8.85121 2.66438e-14 1638.4
0.0882112 0 0 0 0 3.03155 8.8242 2.66438e-14 1638.4
0.0880852 0 0 0 0 3.12498 8.29097 0 0
0.0879524 0 0 0 0 3.09531 8.04138 2.66438e-14 1638.4
0.0878144 0 0 0 0 3.17427 7.52334 0 0
0.0876712 0 0 0 0 3.14942 7.33016 2.66438e-14 1638.4
0.0875175 0 0 0 0 3.2037 7.43246 2.66438e-14 1638.4
0.087359 0 0 0 0 3.12276 7.18032 0 0
0.0871957 0 0 0 0 2.91679 6.94088 2.66438e-14 1638.4
0.0870561 0 0 11.5092 26.8324 2.72824 9.44081 921.6 57.6
0.0869564 0 0 14.1192 34.9052 2.66799 11.5382 0 0
0.0868937 0 0 10.874 26.8411 2.62663 11.4564 0 0
0.0868603 0 0 9.27131 23.0138 2.45174 11.3102 512 1638.4
0.0868454 0 0 7.18906 18.3827 2.46684 10.8684 0 0
0.0868525 0 0 6.08379 15.6674 2.36869 10.1332 0 0
0.0868795 0 0 5.7546 15.0207 2.20068 9.69554 512 1.91114e-14
0.0869183 0 0 4.78894 13.0536 2.1975 9.17372 0 0
0.0869732 0 0 4.33147 11.9451 2.09829 8.59431 0 0
0.0870458 0 0 4.08333 11.507 2.00235 7.88577 0 0
0.0871364 0 0 3.88634 11.2593 1.91024 7.24206 0 0
0.0872447 0 0 3.68304 11.0084 1.82079 6.72264 0 0
0.0873699 0 0 3.46124 10.7018 1.73313 6.32728 0 0
0.0875111 0 0 3.22536 10.3434 1.64665 6.03531 0 0
0.0876673 0 0 3.00113 9.94676 1.56124 5.82293 0 0
0.0878372 0 0 2.92461 9.50281 1.47986 5.66248 0 0
0.0880202 0 0 2.85924 9.07739 1.39923 5.52185 0 0
0.0882156 0 0 2.80842 8.68754 1.31855 5.3863 0 0
0.0884229 0 0 2.77104 8.33357 1.32235 5.24485 0 0
0.0886416 0 0 2.74671 8.01716 1.39279 5.08455 0 0
0.0888716 0 0 2.73399 7.73883 1.46265 4.90087 0 0
0.089113 0 0 2.72969 7.4928 1.53158 4.69769 0 0
0.0893659 0 0 2.73093 7.27232 1.59898 4.48121 0 0
0.0896301 0 0 2.52063 6.5832 1.67094 4.20714 0 0
0.0899047 0 0 2.10819 5.39733 1.74563 3.86138 0 0
0.0901888 0 0 1.67566 4.14294 1.81589 3.48267 0 0
0.0904815 0 0 1.31244 3.0854 1.87761 3.11439 0 0
0.0907821 0 0 0.944607 2.07149 921.231 59.3935 0 0
0.0911219 0 0 0.966356 2.96619 9.06506 2.23629 0 0
