time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.204 0.0177658 -0.116584 0.115577 -0.116265 0.0455538 0.0710551 -0.0720428 -0.0717575 1.82119e-08
0.206 0.0165887 -0.117729 0.11676 -0.117422 0.0449745 0.0719692 -0.0729565 -0.0726708 1.82398e-08
0.208 0.0154309 -0.118855 0.117924 -0.118558 0.0443836 0.0728883 -0.0738745 -0.0735885 1.82345e-08
0.21 0.0142937 -0.119958 0.119067 -0.119673 0.0437818 0.0738119 -0.0747961 -0.0745102 1.81956e-08
0.212 0.0131785 -0.121037 0.120188 -0.120765 0.0431698 0.0747394 -0.075721 -0.0754353 1.81226e-08
0.214 0.0120864 -0.122092 0.121285 -0.121832 0.0425481 0.0756703 -0.0766484 -0.0763632 1.80153e-08
0.216 0.0110189 -0.123122 0.122358 -0.122875 0.0419175 0.076604 -0.0775779 -0.0772934 1.78732e-08
0.218 0.00997717 -0.124124 0.123404 -0.123891 0.0412787 0.07754 -0.0785088 -0.0782254 1.76959e-08
0.22 0.00896248 -0.125097 0.124423 -0.124878 0.0406324 0.0784777 -0.0794406 -0.0791584 1.74832e-08
0.222 0.00797608 -0.126041 0.125414 -0.125837 0.0399792 0.0794164 -0.0803726 -0.080092 1.72349e-08
0.224 0.00701922 -0.126955 0.126374 -0.126765 0.03932 0.0803556 -0.0813042 -0.0810255 1.69505e-08
0.226 0.00609312 -0.127836 0.127304 -0.127662 0.0386555 0.0812946 -0.0822348 -0.0819582 1.66301e-08
0.228 0.00519897 -0.128683 0.128201 -0.128525 0.0379864 0.0822327 -0.0831638 -0.0828895 1.62733e-08
0.23 0.00433796 -0.129497 0.129064 -0.129355 0.0373134 0.0831693 -0.0840905 -0.0838189 1.588e-08
0.232 0.00351127 -0.130274 0.129893 -0.13015 0.0366374 0.0841038 -0.0850141 -0.0847455 1.54501e-08
0.234 0.00272003 -0.131016 0.130685 -0.130908 0.035959 0.0850354 -0.0859342 -0.0856687 1.49835e-08
0.236 0.00196537 -0.131719 0.131441 -0.131629 0.0352791 0.0859635 -0.0868499 -0.0865879 1.44802e-08
0.238 0.00124839 -0.132383 0.132158 -0.132312 0.0345985 0.0868874 -0.0877605 -0.0875024 1.39402e-08
0.24 0.000570158 -0.133008 0.132836 -0.132955 0.033918 0.0878064 -0.0886655 -0.0884115 1.33634e-08
0.242 -6.82603e-05 -0.133591 0.133474 -0.133557 0.0332382 0.0887197 -0.089564 -0.0893144 3.85247e-09
0.244 -0.000665844 -0.134133 0.13407 -0.134118 0.0325601 0.0896267 -0.0904554 -0.0902105 0
0.246 -0.00122159 -0.134632 0.134624 -0.134637 0.0318845 0.0905267 -0.0913389 -0.091099 0
0.248 -0.00173454 -0.135086 0.135134 -0.135112 0.0312121 0.0914188 -0.0922139 -0.0919793 0
0.25 -0.00220373 -0.135496 0.1356 -0.135542 0.0305438 0.0923024 -0.0930795 -0.0928505 0
0.252 -0.00262827 -0.135861 0.13602 -0.135928 0.0298803 0.0931768 -0.0939351 -0.0937121 0
0.254 -0.00300726 -0.136179 0.136395 -0.136267 0.0292226 0.0940411 -0.09478 -0.0945632 0
0.256 -0.00333986 -0.136449 0.136722 -0.136559 0.0285713 0.0948947 -0.0956134 -0.0954031 0
0.258 -0.00362524 -0.136672 0.137001 -0.136803 0.0279274 0.0957369 -0.0964346 -0.0962311 0
0.26 -0.00386263 -0.136845 0.137232 -0.136999 0.0272916 0.0965668 -0.0972428 -0.0970465 0
0.262 -0.00405128 -0.13697 0.137413 -0.137146 0.0266648 0.0973837 -0.0980373 -0.0978484 0
0.264 -0.00419047 -0.137043 0.137544 -0.137242 0.0260477 0.0981869 -0.0988174 -0.0986363 0
0.266 -0.00427952 -0.137066 0.137624 -0.137288 0.0254411 0.0989756 -0.0995824 -0.0994094 0
0.268 -0.00431779 -0.137038 0.137652 -0.137283 0.0248459 0.0997492 -0.100332 -0.100167 0
0.27 -0.00430468 -0.136958 0.137628 -0.137226 0.0242629 0.100507 -0.101064 -0.100908 0
0.272 -0.00423962 -0.136825 0.137552 -0.137117 0.0236929 0.101248 -0.101779 -0.101632 0
0.274 -0.00412209 -0.136639 0.137422 -0.136955 0.0231366 0.101971 -0.102476 -0.102339 0
0.276 -0.0039516 -0.136399 0.137238 -0.13674 0.0225948 0.102676 -0.103155 -0.103027 0
0.278 -0.00372769 -0.136106 0.137 -0.136471 0.0220684 0.103363 -0.103814 -0.103696 0
0.28 -0.00344998 -0.135759 0.136708 -0.136148 0.021558 0.10403 -0.104453 -0.104345 0
0.282 -0.00311808 -0.135357 0.136361 -0.13577 0.0210645 0.104676 -0.105071 -0.104973 0
0.284 -0.00273169 -0.1349 0.135958 -0.135338 0.0205886 0.105302 -0.105667 -0.10558 0
0.286 -0.00229051 -0.134388 0.1355 -0.134851 0.020131 0.105906 -0.106242 -0.106166 0
0.288 -0.00179431 -0.133821 0.134985 -0.134309 0.0196925 0.106488 -0.106793 -0.106729 0
0.29 -0.00124291 -0.133199 0.134415 -0.133712 0.0192738 0.107046 -0.107322 -0.107268 0
0.292 -0.000636141 -0.132521 0.133789 -0.133059 0.0188756 0.107581 -0.107826 -0.107784 0
0.294 2.60925e-05 -0.131787 0.133106 -0.132351 0.0184986 0.108092 -0.108305 -0.108276 0
0.296 0.000743853 -0.130999 0.132368 -0.131587 0.0181435 0.108577 -0.108759 -0.108742 0
0.298 0.00151716 -0.130154 0.131572 -0.130768 0.017811 0.109037 -0.109187 -0.109182 0
0.3 0.00234598 -0.129255 0.130721 -0.129893 0.0175017 0.109471 -0.109588 -0.109596 0
0.302 0.00323024 -0.1283 0.129813 -0.128963 0.0172162 0.109878 -0.109962 -0.109984 0
0.304 0.00416981 -0.12729 0.128849 -0.127978 0.0169553 0.110257 -0.110309 -0.110344 0
0.306 0.00516455 -0.126225 0.12783 -0.126938 0.0167195 0.110608 -0.110627 -0.110676 0
0.308 0.00621423 -0.125106 0.126755 -0.125843 0.0165094 0.110931 -0.110917 -0.110979 0
0.31 0.00731859 -0.123932 0.125624 -0.124694 0.0163256 0.111225 -0.111177 -0.111253 0
0.312 0.00847734 -0.122705 0.124438 -0.123491 0.0161686 0.111489 -0.111407 -0.111498 0
0.314 0.00969012 -0.121424 0.123198 -0.122234 0.016039 0.111724 -0.111608 -0.111713 0
0.316 0.0109565 -0.12009 0.121903 -0.120924 0.0159374 0.111927 -0.111777 -0.111897 0
0.318 0.0122762 -0.118704 0.120555 -0.119562 0.0158641 0.1121 -0.111916 -0.11205 0
0.32 0.0136485 -0.117265 0.119153 -0.118147 0.0158198 0.112241 -0.112023 -0.112172 0
0.322 0.015073 -0.115776 0.117699 -0.11668 0.0158049 0.11235 -0.112098 -0.112262 0
0.324 0.0165491 -0.114235 0.116192 -0.115163 0.0158198 0.112427 -0.112141 -0.11232 0
0.326 0.0180762 -0.112644 0.114634 -0.113595 0.0158649 0.112471 -0.112151 -0.112346 0
0.328 0.0196536 -0.111005 0.113025 -0.111977 0.0159407 0.112482 -0.112128 -0.112338 0
0.33 0.0212806 -0.109316 0.111367 -0.110311 0.0160475 0.11246 -0.112072 -0.112298 0
0.332 0.0229564 -0.10758 0.109659 -0.108596 0.0161857 0.112404 -0.111982 -0.112224 0
0.334 0.0246803 -0.105797 0.107902 -0.106834 0.0163555 0.112314 -0.111858 -0.112116 0
