time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.162 0.0445996 -0.090082 0.0886033 -0.0896504 0.054067 0.0537324 -0.0545726 -0.0543403 1.09995e-08
0.164 0.0433214 -0.0913579 0.0898872 -0.090927 0.0538521 0.0544555 -0.0553083 -0.055072 1.15822e-08
0.166 0.0420352 -0.0926405 0.0911791 -0.0922108 0.0536157 0.05519 -0.056055 -0.0558148 1.21457e-08
0.168 0.0407423 -0.0939285 0.092478 -0.0935004 0.0533583 0.0559357 -0.0568125 -0.0565685 1.26893e-08
0.17 0.0394439 -0.0952207 0.0937826 -0.0947947 0.05308 0.0566927 -0.0575806 -0.057333 1.3212e-08
0.172 0.0381412 -0.0965158 0.0950916 -0.0960924 0.0527812 0.0574606 -0.0583593 -0.0581082 1.37132e-08
0.174 0.0368355 -0.0978127 0.0964038 -0.0973923 0.0524623 0.0582395 -0.0591484 -0.0588939 1.41921e-08
0.176 0.0355281 -0.09911 0.0977179 -0.0986931 0.0521236 0.0590291 -0.0599476 -0.0596899 1.46479e-08
0.178 0.0342201 -0.100406 0.0990326 -0.0999934 0.0517655 0.0598291 -0.0607568 -0.0604959 1.50799e-08
0.18 0.0329129 -0.101701 0.100347 -0.101292 0.0513885 0.0606395 -0.0615757 -0.0613119 1.54874e-08
0.182 0.0316078 -0.102992 0.101659 -0.102588 0.0509929 0.0614599 -0.062404 -0.0621374 1.58696e-08
0.184 0.0303061 -0.104278 0.102967 -0.103879 0.0505791 0.06229 -0.0632415 -0.0629722 1.62257e-08
0.186 0.0290091 -0.105558 0.104271 -0.105165 0.0501477 0.0631296 -0.0640878 -0.0638161 1.65552e-08
0.188 0.0277181 -0.10683 0.105569 -0.106444 0.0496991 0.0639784 -0.0649426 -0.0646686 1.68573e-08
0.19 0.0264344 -0.108094 0.10686 -0.107714 0.0492339 0.0648361 -0.0658057 -0.0655295 1.71313e-08
0.192 0.0251594 -0.109348 0.108142 -0.108975 0.0487524 0.0657022 -0.0666765 -0.0663985 1.73767e-08
0.194 0.0238944 -0.11059 0.109414 -0.110225 0.0482552 0.0665764 -0.0675548 -0.067275 1.75927e-08
0.196 0.0226407 -0.11182 0.110675 -0.111463 0.0477429 0.0674584 -0.0684401 -0.0681588 1.77787e-08
0.198 0.0213996 -0.113035 0.111923 -0.112687 0.047216 0.0683477 -0.069332 -0.0690493 1.79342e-08
0.2 0.0201726 -0.114235 0.113157 -0.113897 0.0466752 0.0692439 -0.07023 -0.0699463 1.80586e-08
0.202 0.0189609 -0.115418 0.114375 -0.11509 0.0461209 0.0701465 -0.0711338 -0.0708491 1.81513e-08
0.204 0.0177658 -0.116584 0.115577 -0.116265 0.0455538 0.0710551 -0.0720428 -0.0717575 1.82119e-08
0.206 0.0165887 -0.117729 0.11676 -0.117422 0.0449745 0.0719692 -0.0729565 -0.0726708 1.82398e-08
0.208 0.0154309 -0.118855 0.117924 -0.118558 0.0443836 0.0728883 -0.0738745 -0.0735885 1.82345e-08
0.21 0.0142937 -0.119958 0.119067 -0.119673 0.0437818 0.0738119 -0.0747961 -0.0745102 1.81956e-08
0.212 0.0131785 -0.121037 0.120188 -0.120765 0.0431698 0.0747394 -0.075721 -0.0754353 1.81226e-08
0.214 0.0120864 -0.122092 0.121285 -0.121832 0.0425481 0.0756703 -0.0766484 -0.0763632 1.80153e-08
0.216 0.0110189 -0.123122 0.122358 -0.122875 0.0419175 0.076604 -0.0775779 -0.0772934 1.78732e-08
0.218 0.00997717 -0.124124 0.123404 -0.123891 0.0412787 0.07754 -0.0785088 -0.0782254 1.76959e-08
0.22 0.00896248 -0.125097 0.124423 -0.124878 0.0406324 0.0784777 -0.0794406 -0.0791584 1.74832e-08
0.222 0.00797608 -0.126041 0.125414 -0.125837 0.0399792 0.0794164 -0.0803726 -0.080092 1.72349e-08
0.224 0.00701922 -0.126955 0.126374 -0.126765 0.03932 0.0803556 -0.0813042 -0.0810255 1.69505e-08
0.226 0.00609312 -0.127836 0.127304 -0.127662 0.0386555 0.0812946 -0.0822348 -0.0819582 1.66301e-08
0.228 0.00519897 -0.128683 0.128201 -0.128525 0.0379864 0.0822327 -0.0831638 -0.0828895 1.62733e-08
0.23 0.00433796 -0.129497 0.129064 -0.129355 0.0373134 0.0831693 -0.0840905 -0.0838189 1.588e-08
0.232 0.00351127 -0.130274 0.129893 -0.13015 0.0366374 0.0841038 -0.0850141 -0.0847455 1.54501e-08
0.234 0.00272003 -0.131016 0.130685 -0.130908 0.035959 0.0850354 -0.0859342 -0.0856687 1.49835e-08
0.236 0.00196537 -0.131719 0.131441 -0.131629 0.0352791 0.0859635 -0.0868499 -0.0865879 1.44802e-08
0.238 0.00124839 -0.132383 0.132158 -0.132312 0.0345985 0.0868874 -0.0877605 -0.0875024 1.39402e-08
0.24 0.000570158 -0.133008 0.132836 -0.132955 0.033918 0.0878064 -0.0886655 -0.0884115 1.33634e-08
0.242 -6.82603e-05 -0.133591 0.133474 -0.133557 0.0332382 0.0887197 -0.089564 -0.0893144 3.85247e-09
0.244 -0.000665844 -0.134133 0.13407 -0.134118 0.0325601 0.0896267 -0.0904554 -0.0902105 0
0.246 -0.00122159 -0.134632 0.134624 -0.134637 0.0318845 0.0905267 -0.0913389 -0.091099 0
0.248 -0.00173454 -0.135086 0.135134 -0.135112 0.0312121 0.0914188 -0.0922139 -0.0919793 0
0.25 -0.00220373 -0.135496 0.1356 -0.135542 0.0305438 0.0923024 -0.0930795 -0.0928505 0
0.252 -0.00262827 -0.135861 0.13602 -0.135928 0.0298803 0.0931768 -0.0939351 -0.0937121 0
0.254 -0.00300726 -0.136179 0.136395 -0.136267 0.0292226 0.0940411 -0.09478 -0.0945632 0
