setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
-0.250883 0.250867 0.384267 -0.384283 -0.223178 0.22316 0.35656 -0.356578 0
-0.256894 0.256879 0.390279 -0.390294 -0.229921 0.229904 0.363304 -0.363321 0
-0.262701 0.262686 0.396086 -0.396101 -0.236477 0.23646 0.36986 -0.369877 0
-0.268299 0.268285 0.401685 -0.401699 -0.242841 0.242825 0.376225 -0.376242 0
-0.273686 0.273672 0.407072 -0.407086 -0.24901 0.248994 0.382394 -0.38241 0
-0.278858 0.278845 0.412245 -0.412258 -0.25498 0.254965 0.388365 -0.38838 0
-0.283812 0.283799 0.417199 -0.417212 -0.260746 0.260731 0.394131 -0.394146 0
-0.288544 0.288532 0.421932 -0.421944 -0.266306 0.266292 0.399692 -0.399706 0
-0.293052 0.293041 0.426441 -0.426452 -0.271655 0.271641 0.405041 -0.405055 0
-0.297333 0.297322 0.430722 -0.430733 -0.276791 0.276777 0.410177 -0.410191 0
-0.301384 0.301373 0.434773 -0.434784 -0.281709 0.281697 0.415097 -0.415109 0
-0.305202 0.305192 0.438592 -0.438602 -0.286408 0.286396 0.419796 -0.419808 0
-0.308785 0.308776 0.442176 -0.442185 -0.290883 0.290872 0.424272 -0.424283 0
-0.312132 0.312123 0.445523 -0.445532 -0.295133 0.295122 0.428522 -0.428533 0
-0.315239 0.315231 0.448631 -0.448639 -0.299154 0.299144 0.432544 -0.432554 0
-0.318104 0.318097 0.451497 -0.451504 -0.302944 0.302935 0.436335 -0.436344 0
-0.320727 0.320721 0.454121 -0.454127 -0.306501 0.306492 0.439892 -0.439901 0
-0.323105 0.323099 0.456499 -0.456505 -0.309822 0.309813 0.443213 -0.443222 0
-0.325237 0.325232 0.458632 -0.458637 -0.312905 0.312897 0.446297 -0.446305 0
-0.327121 0.327117 0.460517 -0.460521 -0.315748 0.315741 0.449141 -0.449148 0
-0.328757 0.328753 0.462153 -0.462157 -0.31835 0.318343 0.451743 -0.45175 0
-0.330143 0.330139 0.463539 -0.463543 -0.320708 0.320703 0.454103 -0.454108 0
-0.331278 0.331275 0.464675 -0.464678 -0.322822 0.322817 0.456217 -0.456222 0
-0.332162 0.33216 0.46556 -0.465562 -0.32469 0.324686 0.458086 -0.45809 0
-0.332793 0.332792 0.466192 -0.466193 -0.326311 0.326307 0.459707 -0.459711 0
-0.333173 0.333172 0.466572 -0.466573 -0.327683 0.32768 0.46108 -0.461083 0
-0.3333 0.3333 0.4667 -0.4667 -0.328807 0.328804 0.462204 -0.462207 0
-0.333174 0.333175 0.466575 -0.466574 -0.32968 0.329678 0.463078 -0.46308 0
-0.332796 0.332797 0.466197 -0.466196 -0.330303 0.330302 0.463702 -0.463703 0
-0.332166 0.332168 0.465568 -0.465566 -0.330676 0.330675 0.464075 -0.464076 0
-0.331283 0.331286 0.464686 -0.464683 -0.330797 0.330797 0.464197 -0.464197 0
-0.330149 0.330153 0.463553 -0.463549 -0.330668 0.330668 0.464068 -0.464068 0
-0.328765 0.328769 0.462169 -0.462165 -0.330287 0.330288 0.463688 -0.463687 0
-0.327131 0.327135 0.460535 -0.460531 -0.329656 0.329658 0.463058 -0.463056 0
-0.325248 0.325253 0.458653 -0.458648 -0.328774 0.328777 0.462177 -0.462174 0
-0.323117 0.323123 0.456523 -0.456517 -0.327643 0.327646 0.461046 -0.461043 0
-0.32074 0.320747 0.454147 -0.45414 -0.326262 0.326266 0.459666 -0.459662 0
-0.318119 0.318126 0.451526 -0.451519 -0.324634 0.324638 0.458038 -0.458034 0
-0.315254 0.315262 0.448662 -0.448654 -0.322758 0.322763 0.456163 -0.456158 0
-0.312149 0.312157 0.445557 -0.445549 -0.320636 0.320642 0.454042 -0.454036 0
-0.308804 0.308813 0.442213 -0.442204 -0.31827 0.318276 0.451676 -0.45167 0
-0.305222 0.305231 0.438631 -0.438622 -0.31566 0.315667 0.449067 -0.44906 0
-0.301404 0.301415 0.434815 -0.434804 -0.312809 0.312817 0.446217 -0.446209 0
-0.297355 0.297366 0.430766 -0.430755 -0.309718 0.309726 0.443126 -0.443118 0
-0.293075 0.293087 0.426487 -0.426475 -0.306389 0.306399 0.439799 -0.439789 0
-0.288569 0.288581 0.421981 -0.421969 -0.302825 0.302835 0.436235 -0.436225 0
-0.283837 0.28385 0.41725 -0.417237 -0.299028 0.299038 0.432438 -0.432428 0
-0.278885 0.278898 0.412298 -0.412285 -0.294999 0.29501 0.42841 -0.428399 0
-0.273714 0.273728 0.407128 -0.407114 -0.290742 0.290754 0.424154 -0.424142 0
-0.268328 0.268343 0.401743 -0.401728 -0.286259 0.286272 0.419672 -0.419659 0
-0.262731 0.262746 0.396146 -0.396131 -0.281554 0.281566 0.414966 -0.414954 0
-0.256925 0.256941 0.390341 -0.390325 -0.276628 0.276641 0.410041 -0.410028 0
-0.250916 0.250932 0.384332 -0.384316 -0.271486 0.271499 0.404899 -0.404886 0
-0.244705 0.244722 0.378122 -0.378105 -0.26613 0.266144 0.399544 -0.39953 0
-0.238298 0.238315 0.371715 -0.371698 -0.260563 0.260578 0.393978 -0.393963 0
-0.231698 0.231716 0.365116 -0.365098 -0.25479 0.254806 0.388206 -0.38819 0
-0.22491 0.224928 0.358328 -0.35831 -0.248814 0.24883 0.38223 -0.382214 0
-0.217937 0.217956 0.351356 -0.351337 -0.242639 0.242655 0.376055 -0.376039 0
-0.210785 0.210804 0.344204 -0.344185 -0.236268 0.236285 0.369685 -0.369668 0
-0.203458 0.203477 0.336877 -0.336858 -0.229706 0.229724 0.363124 -0.363106 0
-0.19596 0.19598 0.32938 -0.32936 -0.222957 0.222975 0.356375 -0.356357 0
-0.188296 0.188316 0.321716 -0.321696 -0.216025 0.216043 0.349443 -0.349425 0
-0.180471 0.180491 0.313891 -0.313871 -0.208914 0.208933 0.342333 -0.342314 0
-0.172489 0.172511 0.305911 -0.305889 -0.201629 0.201648 0.335048 -0.335029 0
-0.164357 0.164379 0.297779 -0.297757 -0.194175 0.194195 0.327595 -0.327575 0
-0.156079 0.156101 0.289501 -0.289479 -0.186556 0.186576 0.319976 -0.319956 0
-0.14766 0.147683 0.281083 -0.28106 -0.178777 0.178797 0.312197 -0.312177 0
-0.139106 0.139129 0.272529 -0.272506 -0.170843 0.170864 0.304264 -0.304242 0
-0.130422 0.130445 0.263845 -0.263822 -0.162758 0.16278 0.29618 -0.296158 0
-0.121613 0.121636 0.255036 -0.255013 -0.154529 0.154551 0.287951 -0.287929 0
-0.112685 0.112709 0.246109 -0.246085 -0.146161 0.146183 0.279583 -0.279561 0
-0.103644 0.103668 0.237068 -0.237044 -0.137657 0.13768 0.27108 -0.271057 0
-0.0944957 0.0945199 0.22792 -0.227896 -0.129025 0.129048 0.262448 -0.262425 0
-0.0852453 0.0852698 0.21867 -0.218645 -0.120269 0.120292 0.253692 -0.253669 0
-0.075899 0.0759237 0.209324 -0.209299 -0.111395 0.111419 0.244819 -0.244795 0
-0.0664626 0.0664875 0.199888 -0.199863 -0.102409 0.102433 0.235833 -0.235809 0
-0.056942 0.0569672 0.190367 -0.190342 -0.0933155 0.0933395 0.22674 -0.226715 0
-0.0473434 0.0473688 0.180769 -0.180743 -0.0841211 0.0841454 0.217545 -0.217521 0
