setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
-0.034017 0.0340019 0.167402 -0.167417 0.104717 -0.104727 0.00217237 -0.00218277 0.0364228
-0.0397352 0.0397203 0.17312 -0.173135 0.101828 -0.101838 0.00559126 -0.00560179 0.036947
-0.0453862 0.0453714 0.178771 -0.178786 0.0988837 -0.0988937 0.00905479 -0.00906544 0.037465
-0.0509664 0.0509518 0.184352 -0.184366 0.0958867 -0.0958968 0.0125607 -0.0125714 0.037977
-0.0564723 0.0564579 0.189858 -0.189872 0.0928395 -0.0928498 0.0161065 -0.0161174 0.0384833
-0.0619004 0.0618862 0.195286 -0.1953 0.0897448 -0.0897551 0.01969 -0.019701 0.0389841
-0.0672472 0.0672332 0.200633 -0.200647 0.086605 -0.0866154 0.0233088 -0.0233199 0.0394797
-0.0725095 0.0724957 0.205896 -0.205909 0.0834227 -0.0834332 0.0269605 -0.0269717 0.0399702
-0.0776838 0.0776703 0.21107 -0.211084 0.0802011 -0.0802112 0.0306425 -0.0306539 0.0404899
-0.0827669 0.0827537 0.216154 -0.216167 0.0769422 -0.0769519 0.0343526 -0.0343641 0.0410284
-0.0877556 0.0877426 0.221143 -0.221156 0.0736485 -0.0736581 0.0380882 -0.0380998 0.0415798
-0.0926468 0.0926341 0.226034 -0.226047 0.0703228 -0.0703323 0.041847 -0.0418587 0.0421406
-0.0974374 0.0974249 0.230825 -0.230837 0.0669678 -0.0669773 0.0456264 -0.0456382 0.0427149
-0.102124 0.102112 0.235512 -0.235524 0.0635861 -0.0635955 0.0494241 -0.0494359 0.0433023
-0.106704 0.106693 0.240093 -0.240104 0.0601804 -0.0601898 0.0532372 -0.0532492 0.043888
-0.111175 0.111164 0.244564 -0.244575 0.0567534 -0.0567628 0.0570636 -0.0570757 0.0444654
-0.115534 0.115522 0.248922 -0.248934 0.0533077 -0.0533172 0.0609007 -0.0609129 0.0450409
-0.119777 0.119766 0.253166 -0.253177 0.0498461 -0.0498556 0.064746 -0.0647581 0.0456188
-0.123902 0.123892 0.257292 -0.257302 0.0463711 -0.0463807 0.0685967 -0.068609 0.046184
-0.127907 0.127897 0.261297 -0.261307 0.0428856 -0.0428952 0.0724507 -0.072463 0.0467453
-0.13179 0.13178 0.26518 -0.26519 0.0393921 -0.0394017 0.0763051 -0.0763175 0.0472969
-0.135546 0.135537 0.268937 -0.268946 0.0358934 -0.0359029 0.0801577 -0.0801701 0.0478462
-0.139176 0.139166 0.272566 -0.272576 0.0323921 -0.0324016 0.0840057 -0.0840183 0.0483873
-0.142675 0.142666 0.276066 -0.276075 0.0288907 -0.0289003 0.0878469 -0.0878594 0.0489222
-0.146041 0.146033 0.279433 -0.279441 0.0253921 -0.0254016 0.0916786 -0.0916911 0.0494564
