distance x y z pitch roll
0.0639248 0.0654672 0.123265 0.00941287 -5.58009 -4.50788
0.0644151 0.0659633 0.123282 0.00977605 -5.73813 -4.68373
0.064904 0.0664588 0.123303 0.0101514 -5.90231 -4.86637
0.0653912 0.0669536 0.12333 0.0105394 -6.07236 -5.05597
0.0658765 0.0674476 0.123361 0.0109404 -6.24813 -5.25269
0.0663645 0.0679411 0.123399 0.0113478 -6.41865 -5.43055
0.0668545 0.0684404 0.123433 0.0117692 -6.59352 -5.63243
0.0673421 0.0689389 0.123471 0.0122001 -6.77366 -5.84041
0.0678271 0.0694361 0.123511 0.0126411 -6.95927 -6.05422
0.0683091 0.0699319 0.123552 0.0130933 -7.15039 -6.27415
0.0687879 0.0704261 0.123595 0.0135574 -7.34696 -6.50052
0.0692631 0.0709184 0.123639 0.0140343 -7.54884 -6.7336
0.0697346 0.0714089 0.123685 0.0145243 -7.75591 -6.97359
0.0702021 0.0718974 0.123731 0.0150276 -7.96801 -7.22068
0.0706656 0.0723839 0.123778 0.0155438 -8.1851 -7.4751
0.0711251 0.0728683 0.123827 0.0160721 -8.40711 -7.73676
0.0715807 0.0733509 0.123877 0.0166121 -8.63375 -8.0057
0.0720327 0.0738316 0.123929 0.0171629 -8.86466 -8.28182
0.0724811 0.0743106 0.123983 0.0177239 -9.09956 -8.56488
0.0729258 0.0747878 0.124039 0.0182944 -9.33818 -8.85452
0.0733669 0.0752632 0.124097 0.0188733 -9.58021 -9.1503
0.0738041 0.0757366 0.124158 0.0194598 -9.82531 -9.45166
0.0742373 0.0762079 0.12422 0.0200529 -10.0731 -9.75803
0.0746662 0.0766768 0.124284 0.0206515 -10.3231 -10.0688
0.0750905 0.077143 0.124348 0.0212545 -10.5749 -10.3831
0.0755097 0.0776061 0.124414 0.0218608 -10.8279 -10.7004
0.0759235 0.0780659 0.124479 0.0224694 -11.0816 -11.0199
0.0763315 0.0785219 0.124543 0.0230791 -11.3355 -11.3409
0.0767331 0.0789736 0.124607 0.0236888 -11.5889 -11.6624
0.0771279 0.0794206 0.124668 0.0242974 -11.8413 -11.9839
