time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.124 0.0362559 -0.0661096 0.0672584 -0.0671161 0.0330155 0.04212 -0.0539111 -0.0420839 0.0187366
0.126 0.0362893 -0.0651759 0.0681908 -0.0680418 0.033081 0.0426414 -0.0541364 -0.042603 0.0191769
0.128 0.0363566 -0.0642155 0.0691498 -0.068994 0.0331464 0.0431715 -0.0543379 -0.0431308 0.0196168
0.13 0.0364583 -0.0632293 0.0701347 -0.069972 0.0332127 0.0437108 -0.0545158 -0.0436677 0.0200561
0.132 0.0365948 -0.062218 0.0711446 -0.070975 0.0332803 0.0442594 -0.0546698 -0.0442138 0.0204978
0.134 0.0367664 -0.0611823 0.0721789 -0.0720023 0.03335 0.0448178 -0.0548 -0.0447695 0.0209399
0.136 0.0369734 -0.060123 0.0732368 -0.0730531 0.0334224 0.0453862 -0.0549065 -0.0453352 0.0213815
0.138 0.0372163 -0.0590411 0.0743173 -0.0741266 0.0334983 0.0459647 -0.0549892 -0.045911 0.0218229
0.14 0.0374952 -0.0579373 0.0754197 -0.0752218 0.0335782 0.0465538 -0.0550481 -0.0464972 0.0222631
0.142 0.0378104 -0.0568126 0.076543 -0.0763381 0.0336629 0.0471536 -0.0550834 -0.047094 0.0227015
0.144 0.0381622 -0.0556679 0.0776864 -0.0774743 0.0337529 0.0477642 -0.0550951 -0.0477016 0.0231376
0.146 0.0385506 -0.0545042 0.0788487 -0.0786296 0.0338488 0.0483858 -0.0550833 -0.0483202 0.0235711
0.148 0.0389758 -0.0533224 0.0800291 -0.079803 0.0339513 0.0490186 -0.0550481 -0.0489498 0.0240017
0.15 0.0394379 -0.0521237 0.0812266 -0.0809935 0.0340611 0.0496627 -0.0549896 -0.0495907 0.0244293
0.152 0.039937 -0.0509089 0.08244 -0.0822001 0.0341786 0.0503182 -0.054908 -0.0502428 0.0248537
0.154 0.0404731 -0.0496793 0.0836684 -0.0834217 0.0343045 0.0509851 -0.0548034 -0.0509064 0.0252746
0.156 0.0410462 -0.0484358 0.0849106 -0.0846573 0.0344393 0.0516636 -0.0546761 -0.0515814 0.0256919
