amplitudeForeHip amplitudeHindHip offsetForeHip offsetHindHip amplitudeForeKnee amplitudeHindKnee offsetKnee kneePhaseLag frequency duration distance angle
0.2 0.2 0 -0.05 0 0.25 0 1 2 10 0.563981 0.989798 
0.2 0.2 0 1.38778e-17 0 0.25 0 0 2 10 0.515048 0.994585 
0.2 0.2 0 1.38778e-17 0 0.25 0 0.25 2 10 0.52177 0.989262 
0.2 0.2 0 1.38778e-17 0 0.25 0 0.5 2 10 0.552233 0.994737 
0.2 0.2 0 1.38778e-17 0 0.25 0 0.75 2 10 0.519666 0.997406 
0.2 0.2 0 1.38778e-17 0 0.25 0 1 2 10 0.528313 0.98546 
0.2 0.2 0 0.05 0 0.25 0 0 2 10 0.516798 0.983677 
0.2 0.2 0 0.05 0 0.25 0 0.25 2 10 0.479387 0.996785 
0.2 0.2 0 0.05 0 0.25 0 0.5 2 10 0.513798 0.998837 
0.2 0.2 0 0.05 0 0.25 0 0.75 2 10 0.493545 0.982137 
0.2 0.2 0 0.05 0 0.25 0 1 2 10 0.472241 0.997666 
0.2 0.2 0.05 -0.15 0 0.25 0 0 2 10 0.555129 0.992593 
0.2 0.2 0.05 -0.15 0 0.25 0 0.25 2 10 0.572192 0.99519 
0.2 0.2 0.05 -0.15 0 0.25 0 0.5 2 10 0.569483 0.996563 
0.2 0.2 0.05 -0.15 0 0.25 0 0.75 2 10 0.585395 0.99549 
0.2 0.2 0.05 -0.15 0 0.25 0 1 2 10 0.557074 0.989233 
0.2 0.2 0.05 -0.1 0 0.25 0 0 2 10 0.524633 0.999178 
0.2 0.2 0.05 -0.1 0 0.25 0 0.25 2 10 0.511413 0.999185 
0.2 0.2 0.05 -0.1 0 0.25 0 0.5 2 10 0.537589 0.998025 
0.2 0.2 0.05 -0.1 0 0.25 0 0.75 2 10 0.535236 0.997403 
0.2 0.2 0.05 -0.1 0 0.25 0 1 2 10 0.525948 0.999704 
0.2 0.2 0.05 -0.05 0 0.25 0 0 2 10 0.536865 0.999413 
0.2 0.2 0.05 -0.05 0 0.25 0 0.25 2 10 0.50699 0.999227 
0.2 0.2 0.05 -0.05 0 0.25 0 0.5 2 10 0.51536 0.98351 
0.2 0.2 0.05 -0.05 0 0.25 0 0.75 2 10 0.509606 0.983238 
0.2 0.2 0.05 -0.05 0 0.25 0 1 2 10 0.470195 0.996018 
0.2 0.2 0.05 1.38778e-17 0 0.25 0 0 2 10 0.461839 0.997292 
0.2 0.2 0.05 1.38778e-17 0 0.25 0 0.25 2 10 0.460774 0.997917 
0.2 0.2 0.05 1.38778e-17 0 0.25 0 0.5 2 10 0.479361 0.998516 
0.2 0.2 0.05 1.38778e-17 0 0.25 0 0.75 2 10 0.489585 0.984361 
0.2 0.2 0.05 1.38778e-17 0 0.25 0 1 2 10 0.488268 0.986323 
0.2 0.2 0.05 0.05 0 0.25 0 0 2 10 0.440055 0.986036 
0.2 0.2 0.05 0.05 0 0.25 0 0.25 2 10 0.482291 0.988846 
0.2 0.2 0.05 0.05 0 0.25 0 0.5 2 10 0.464591 0.992159 
0.2 0.2 0.05 0.05 0 0.25 0 0.75 2 10 0.422404 0.994466 
0.2 0.2 0.05 0.05 0 0.25 0 1 2 10 0.422168 0.99935 
0.2 0.2 0.1 -0.15 0 0.25 0 0 2 10 0.451878 0.994021 
0.2 0.2 0.1 -0.15 0 0.25 0 0.25 2 10 0.503451 0.997485 
0.2 0.2 0.1 -0.15 0 0.25 0 0.5 2 10 0.507189 0.99723 
0.2 0.2 0.1 -0.15 0 0.25 0 0.75 2 10 0.515457 0.999455 
0.2 0.2 0.1 -0.15 0 0.25 0 1 2 10 0.4928 0.999535 
0.2 0.2 0.1 -0.1 0 0.25 0 0 2 10 0.501786 0.99795 
0.2 0.2 0.1 -0.1 0 0.25 0 0.25 2 10 0.498819 0.997202 
0.2 0.2 0.1 -0.1 0 0.25 0 0.5 2 10 0.511081 0.996582 
0.2 0.2 0.1 -0.1 0 0.25 0 0.75 2 10 0.50726 0.997518 
0.2 0.2 0.1 -0.1 0 0.25 0 1 2 10 0.494004 0.999573 
0.2 0.2 0.1 -0.05 0 0.25 0 0 2 10 0.41509 0.999204 
0.2 0.2 0.1 -0.05 0 0.25 0 0.25 2 10 0.439942 0.997303 
0.2 0.2 0.1 -0.05 0 0.25 0 0.5 2 10 0.44818 0.998863 
0.2 0.2 0.1 -0.05 0 0.25 0 0.75 2 10 0.472169 0.998445 
