distance fxForeLeft fyForeLeft fxHindLeft fyHindLeft fxForeRight fyForeRight fxHindRight fyHindRight
0.0715546 2.30463 8.44129 0 0 0 0 1.76039 3.42827
0.0722385 2.83655 9.07473 0 0 0 0 1.4294 2.98128
0.0729249 3.18623 9.63272 0 0 0 0 0.48623 1.84701
0.0736139 2.30104 7.9906 0 0 0 0 1.79985 3.24669
0.0742999 2.73616 8.45153 0 0 0 0 1.48255 2.84185
0.074983 3.03201 8.75427 0 0 0 0 1.39269 2.63188
0.0756633 3.23988 8.91947 0 0 0 0 1.4033 2.56525
0.0763409 3.38932 8.99162 0 0 0 0 1.47354 2.58187
0.0770215 4.33511 10.2992 0 0 0 0 -0.0795813 0.569154
0.0777023 2.49496 7.48774 0 0 -6.66257 1.72634 1.0302 1.88211
0.0783784 2.61523 7.44313 0 0 -5.62241 1.17316 1.35505 2.28499
0.0790497 2.73788 7.48495 0 0 -5.99207 0.904473 1.30208 2.18756
0.0797158 2.80889 7.45432 0 0 -6.26772 0.866426 1.17154 1.97224
0.080376 2.8176 7.33313 0 0 -6.44837 1.02606 1.0316 1.743
0.0810299 2.76542 7.1254 0 0 -6.54852 1.34564 0.898469 1.52512
0.0816767 2.65845 6.84204 0 0 -6.582 1.79083 0.775137 1.32334
0.0823159 2.50494 6.49686 0 0 -6.56168 2.33158 0.661324 1.13732
0.0829467 2.31409 6.10468 0 0 -6.49939 2.94206 0.556048 0.965625
0.0835685 2.09526 5.68017 0 0 -6.40595 3.60039 0.458287 0.806773
0.0841804 1.85746 5.23709 0 0 -6.29119 4.28827 0.367151 0.659463
0.0847817 1.60902 4.78785 0 0 -6.16384 4.9907 0.281908 0.522619
0.0853717 1.35735 4.34322 0 0 -6.03163 5.6956 0.201977 0.395363
0.0859495 1.10886 3.91222 0 0 -5.90123 6.39355 0.126899 0.276975
0.0865144 0.868883 3.50206 0 0 -5.77832 7.07743 0.0563155 0.166853
0.0870656 0.645198 3.12313 0 0 -5.67116 7.73907 0 0.0739858
0.0876025 0.458552 2.80339 0 0 -5.60114 8.35949 0 0.0376023
0.0881245 0.304701 2.53521 0 0 -5.56132 8.94058 0 0.0052546
0.0886309 0.181599 2.31463 0 0 -5.55261 9.48439 0 0
0.0891214 0.0878484 2.13858 0 0 -5.57288 9.99683 0 0
0.0895954 0.0211583 2.00295 0 0 -5.61943 10.4838 0 0
0.0900525 -0.0213644 1.90299 0 0 -5.68969 10.9508 0 0
0.0904922 -0.0427984 1.83386 0 0 -5.78103 11.4029 0 0
0.0909143 -0.0461723 1.79093 0 0 -5.8907 11.845 0 0
0.0913185 -0.0343285 1.77 0 0 -6.01582 12.2816 0 0
0.0917043 -0.00985134 1.7673 0 0 -6.15331 12.7169 0 0
0.0920717 0.024962 1.77959 0 0 -6.29993 13.1547 0 0
0.0924202 0.0681046 1.80409 0 0 -6.45226 13.5987 0 0
0.0927499 0.117844 1.83848 0 0 -6.60668 14.0516 0 0
0.0930604 0.172695 1.88082 0 0 -6.75931 14.5159 0 0
0.0933518 0.231386 1.92955 0 0 -6.90602 14.9934 0 0
0.0936239 0.292813 1.98336 0 0 -7.04237 15.4853 0 0
0.0938768 0.356006 2.04117 0 0 -7.16356 15.9921 0 0
0.0941104 0.420071 2.10206 0 0 -7.26438 16.5133 0 0
0.094325 0.484156 2.16521 0 0 -7.3392 17.0478 0 0
0.0945207 0.547386 2.22982 0 0 -7.38196 17.5933 0 0
0.0946977 0.608843 2.29508 0 0 -7.38619 18.1467 0 0
0.0948565 0.667488 2.36009 0 0 -7.34504 18.7034 0 0
0.0949974 0.722142 2.4238 0 0 -7.25147 19.2578 0 0
0.0951211 0.771443 2.48499 0 0 -7.0984 19.803 0 0
0.0952281 0.813821 2.54222 0 0 -6.87901 20.3308 0 0
0.0953192 0.847484 2.5938 0 0 -6.58716 20.8318 0 0
0.0953953 0.870423 2.63782 0 0 -6.21785 21.2957 0 0
0.0954572 0.880437 2.67211 0 0 -5.76783 21.7116 0 0
