setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
-0.22491 0.224928 0.358328 -0.35831 -0.191353 0.191352 0.319041 -0.319047 0.0853717
-0.217937 0.217956 0.351356 -0.351337 -0.191885 0.191884 0.319687 -0.319692 0.0859495
-0.210785 0.210804 0.344204 -0.344185 -0.192263 0.192262 0.320177 -0.320182 0.0865144
-0.203458 0.203477 0.336877 -0.336858 -0.192487 0.192487 0.320511 -0.320516 0.0870656
-0.19596 0.19598 0.32938 -0.32936 -0.192556 0.192557 0.320688 -0.320693 0.0876025
-0.188296 0.188316 0.321716 -0.321696 -0.192471 0.192472 0.320709 -0.320713 0.0881245
-0.180471 0.180491 0.313891 -0.313871 -0.192231 0.192232 0.320572 -0.320576 0.0886309
-0.172489 0.172511 0.305911 -0.305889 -0.191836 0.191838 0.320279 -0.320282 0.0891214
-0.164357 0.164379 0.297779 -0.297757 -0.191287 0.191289 0.319829 -0.319832 0.0895954
-0.156079 0.156101 0.289501 -0.289479 -0.190583 0.190585 0.319222 -0.319225 0.0900525
-0.14766 0.147683 0.281083 -0.28106 -0.189724 0.189727 0.318459 -0.318461 0.0904922
-0.139106 0.139129 0.272529 -0.272506 -0.188712 0.188715 0.317541 -0.317542 0.0909143
-0.130422 0.130445 0.263845 -0.263822 -0.187546 0.18755 0.316467 -0.316468 0.0913185
-0.121613 0.121636 0.255036 -0.255013 -0.186228 0.186231 0.315238 -0.315239 0.0917043
-0.112685 0.112709 0.246109 -0.246085 -0.184757 0.184761 0.313855 -0.313856 0.0920717
-0.103644 0.103668 0.237068 -0.237044 -0.183135 0.183139 0.312319 -0.312319 0.0924202
-0.0944957 0.0945199 0.22792 -0.227896 -0.181362 0.181367 0.310631 -0.310631 0.0927499
-0.0852453 0.0852698 0.21867 -0.218645 -0.17944 0.179445 0.308792 -0.308791 0.0930604
-0.075899 0.0759237 0.209324 -0.209299 -0.177369 0.177374 0.306802 -0.306801 0.0933518
-0.0664626 0.0664875 0.199888 -0.199863 -0.175151 0.175157 0.304664 -0.304663 0.0936239
-0.056942 0.0569672 0.190367 -0.190342 -0.172787 0.172793 0.302378 -0.302376 0.0938768
-0.0473434 0.0473688 0.180769 -0.180743 -0.170278 0.170284 0.299945 -0.29994 0.0941104
-0.0376728 0.0376983 0.171098 -0.171073 -0.167626 0.167633 0.297368 -0.297366 0.094325
-0.0279362 0.0279619 0.161362 -0.161336 -0.164832 0.164839 0.294648 -0.294646 0.0945207
-0.0181399 0.0181657 0.151566 -0.15154 -0.161898 0.161906 0.291786 -0.291784 0.0946977
-0.00828996 0.00831595 0.141716 -0.14169 -0.158826 0.158834 0.288785 -0.288782 0.0948565
0.00160733 -0.00158122 0.131819 -0.131793 -0.155617 0.155626 0.285645 -0.285642 0.0949974
0.0115457 -0.0115195 0.12188 -0.121854 -0.152274 0.152283 0.28237 -0.282366 0.0951211
0.021519 -0.0214927 0.111907 -0.111881 -0.148798 0.148808 0.278961 -0.278957 0.0952281
0.0315207 -0.0314944 0.101906 -0.101879 -0.145192 0.145202 0.275419 -0.275415 0.0953192
0.0415447 -0.0415183 0.0918817 -0.0918553 -0.141457 0.141467 0.271748 -0.271744 0.0953953
0.0515846 -0.0515581 0.0818419 -0.0818154 -0.137596 0.137607 0.26795 -0.267945 0.0954572
0.061634 -0.0616075 0.0717925 -0.071766 -0.133612 0.133622 0.264027 -0.264022 0.0955061
0.0716866 -0.0716602 0.0617398 -0.0617134 -0.129506 0.129517 0.259981 -0.259975 0.0955429
0.0817361 -0.0817096 0.0516904 -0.0516639 -0.125281 0.125292 0.255815 -0.255809 0.0955687
0.0917761 -0.0917497 0.0416503 -0.0416239 -0.12094 0.120952 0.251532 -0.251526 0.0955846
0.1018 -0.101774 0.0316262 -0.0315998 -0.116485 0.116497 0.247134 -0.247127 0.095592
0.111802 -0.111776 0.0216241 -0.0215978 -0.11192 0.111932 0.242624 -0.242616 0.0955929
0.121776 -0.121749 0.0116506 -0.0116244 -0.107246 0.107258 0.238004 -0.237997 0.0955878
0.131714 -0.131688 0.00171177 -0.00168566 -0.102467 0.102479 0.233278 -0.23327 0.0955773
0.141612 -0.141586 -0.00818598 0.00821198 -0.0975851 0.0975978 0.228449 -0.228441 0.0955625
0.151462 -0.151436 -0.0180364 0.0180623 -0.0926043 0.0926172 0.223519 -0.223511 0.0955418
0.161259 -0.161233 -0.0278334 0.0278591 -0.0875271 0.0875402 0.218492 -0.218483 0.0955144
0.170996 -0.170971 -0.0375706 0.0375961 -0.0823568 0.08237 0.213371 -0.213362 0.0954799
0.180667 -0.180642 -0.047242 0.0472673 -0.0770965 0.0771098 0.208159 -0.208149 0.0954377
0.190267 -0.190241 -0.0568414 0.0568665 -0.0717493 0.0717628 0.202859 -0.202849 0.0953872
0.199788 -0.199763 -0.0663627 0.0663877 -0.0663188 0.0663323 0.197475 -0.197464 0.0953276
0.209225 -0.2092 -0.0758001 0.0758248 -0.0608081 0.0608217 0.192009 -0.191999 0.0952577
0.218572 -0.218547 -0.0851474 0.0851719 -0.0552207 0.0552344 0.186466 -0.186455 0.0951763
0.227823 -0.227799 -0.0943988 0.094423 -0.04956 0.0495737 0.180849 -0.180838 0.0950821
0.236972 -0.236949 -0.103549 0.103572 -0.0438295 0.0438433 0.175161 -0.17515 0.094974
0.246014 -0.245991 -0.112591 0.112614 -0.0380329 0.0380467 0.169406 -0.169394 0.0948512
0.254943 -0.25492 -0.12152 0.121543 -0.0321736 0.0321874 0.163588 -0.163576 0.0947127
0.263753 -0.26373 -0.13033 0.130353 -0.0262553 0.0262691 0.15771 -0.157697 0.0945576
0.272438 -0.272415 -0.139015 0.139038 -0.0202817 0.0202955 0.151775 -0.151763 0.0943849
0.280993 -0.280971 -0.147571 0.147593 -0.0142564 0.0142702 0.145788 -0.145776 0.0941938
0.289413 -0.289391 -0.155991 0.156013 -0.0081833 0.00819703 0.139753 -0.13974 0.0939833
0.297692 -0.297671 -0.164271 0.164292 -0.00206604 0.00207971 0.133672 -0.133659 0.0937528
0.305826 -0.305805 -0.172405 0.172426 0.0040916 -0.00407794 0.127551 -0.127538 0.0935109
0.313808 -0.313787 -0.180387 0.180408 0.0102857 -0.0102721 0.121392 -0.121379 0.0932512
0.321635 -0.321614 -0.188214 0.188235 0.0165125 -0.0164989 0.1152 -0.115187 0.0929761
0.3293 -0.32928 -0.19588 0.1959 0.022768 -0.0227545 0.108979 -0.108965 0.0926821
0.336799 -0.33678 -0.20338 0.203399 0.0290483 -0.029035 0.102732 -0.102718 0.0923667
0.344128 -0.344109 -0.210709 0.210728 0.0353497 -0.0353364 0.0964628 -0.096449 0.0920279
0.351282 -0.351263 -0.217863 0.217882 0.041668 -0.0416549 0.0901764 -0.0901624 0.0916658
0.358256 -0.358237 -0.224837 0.224856 0.0479996 -0.0479866 0.0838762 -0.0838621 0.0912808
0.365045 -0.365028 -0.231628 0.231645 0.0543402 -0.0543274 0.0775661 -0.077552 0.0908737
0.371647 -0.371629 -0.238229 0.238247 0.0606861 -0.0606734 0.0712503 -0.0712361 0.0904454
0.378055 -0.378039 -0.244639 0.244655 0.0670333 -0.0670207 0.0649325 -0.0649183 0.089997
0.384267 -0.384251 -0.250851 0.250867 0.0733778 -0.0733653 0.0586168 -0.0586027 0.0895295
0.390279 -0.390263 -0.256863 0.256879 0.0797156 -0.0797032 0.0523072 -0.0522931 0.0890442
0.396086 -0.396071 -0.262671 0.262686 0.0860428 -0.0860306 0.0460077 -0.0459935 0.0885423
0.401685 -0.40167 -0.26827 0.268285 0.0923555 -0.0923433 0.0397221 -0.039708 0.088025
0.407072 -0.407059 -0.273659 0.273672 0.0986496 -0.0986376 0.0334545 -0.0334405 0.0874936
0.412245 -0.412232 -0.278832 0.278845 0.104921 -0.10491 0.0272087 -0.0271948 0.0869494
0.417199 -0.417186 -0.283786 0.283799 0.111167 -0.111155 0.0209888 -0.0209749 0.0863942
0.421932 -0.42192 -0.28852 0.288532 0.117382 -0.11737 0.0147986 -0.0147848 0.0858313
0.426441 -0.426429 -0.293029 0.293041 0.123563 -0.123551 0.008642 -0.00862838 0.0852635
0.430722 -0.430711 -0.297311 0.297322 0.129706 -0.129695 0.0025229 -0.00250943 0.0846886
0.434773 -0.434763 -0.301363 0.301373 0.135807 -0.135796 -0.00355487 0.00356818 0.0841048
0.438592 -0.438583 -0.305183 0.305192 0.141863 -0.141852 -0.00958748 0.00960061 0.0835118
0.442176 -0.442167 -0.308767 0.308776 0.147869 -0.147858 -0.0155712 0.0155841 0.0829326
0.445523 -0.445515 -0.312115 0.312123 0.153822 -0.153811 -0.0215022 0.0215148 0.0823583
0.448631 -0.448623 -0.315223 0.315231 0.159718 -0.159707 -0.0273767 0.0273891 0.0817846
0.451497 -0.45149 -0.31809 0.318097 0.165554 -0.165543 -0.0331911 0.0332032 0.0812109
0.454121 -0.454114 -0.320714 0.320721 0.171325 -0.171315 -0.0389417 0.0389536 0.0806346
0.456499 -0.456493 -0.323093 0.323099 0.177029 -0.177018 -0.0446248 0.0446364 0.0800551
0.458632 -0.458626 -0.325226 0.325232 0.182661 -0.18265 -0.0502369 0.0502483 0.0794721
0.460517 -0.460512 -0.327112 0.327117 0.188218 -0.188208 -0.0557746 0.0557857 0.0788857
0.462153 -0.462149 -0.328749 0.328753 0.193696 -0.193686 -0.0612341 0.061245 0.0782959
0.463539 -0.463536 -0.330136 0.330139 0.199093 -0.199083 -0.0666123 0.0666228 0.077703
0.464675 -0.464673 -0.331273 0.331275 0.204405 -0.204395 -0.0719056 0.0719159 0.0771073
0.46556 -0.465558 -0.332158 0.33216 0.209628 -0.209619 -0.0771107 0.0771207 0.0765092
0.466192 -0.466191 -0.332791 0.332792 0.214759 -0.21475 -0.0822244 0.0822341 0.075909
0.466572 -0.466572 -0.333172 0.333172 0.219795 -0.219786 -0.0872434 0.0872529 0.0753072
0.4667 -0.4667 -0.3333 0.3333 0.224733 -0.224725 -0.0921646 0.0921738 0.0747041
0.466575 -0.466576 -0.333176 0.333175 0.22957 -0.229562 -0.096985 0.0969938 0.0741006
0.466197 -0.466199 -0.332799 0.332797 0.234302 -0.234295 -0.101701 0.10171 0.0734973
0.465568 -0.46557 -0.33217 0.332168 0.238927 -0.23892 -0.106311 0.106319 0.072895
0.464686 -0.464688 -0.331288 0.331286 0.243443 -0.243435 -0.11081 0.110818 0.0722946
0.463553 -0.463556 -0.330156 0.330153 0.247845 -0.247838 -0.115197 0.115205 0.0716968
0.462169 -0.462173 -0.328773 0.328769 0.252131 -0.252125 -0.119469 0.119476 0.0711021
0.460535 -0.46054 -0.32714 0.327135 0.256299 -0.256293 -0.123622 0.123629 0.0706153
0.458653 -0.458658 -0.325258 0.325253 0.260346 -0.26034 -0.127655 0.127662 0.0701872
0.456523 -0.456529 -0.323129 0.323123 0.264269 -0.264264 -0.131565 0.131571 0.0697961
0.454147 -0.454154 -0.320754 0.320747 0.268067 -0.268062 -0.135348 0.135355 0.0694342
0.451526 -0.451533 -0.318133 0.318126 0.271736 -0.271731 -0.139004 0.13901 0.0690991
0.448662 -0.44867 -0.31527 0.315262 0.275274 -0.27527 -0.142529 0.142535 0.0687899
0.445557 -0.445566 -0.312166 0.312157 0.27868 -0.278676 -0.145922 0.145928 0.0685067
0.442213 -0.442222 -0.308822 0.308813 0.28195 -0.281947 -0.14918 0.149185 0.0682484
0.438631 -0.438641 -0.305241 0.305231 0.285084 -0.28508 -0.152301 0.152306 0.0680091
0.434815 -0.434825 -0.301425 0.301415 0.288078 -0.288075 -0.155284 0.155288 0.0677861
