amplitudeForeHip amplitudeHindHip offsetForeHip offsetHindHip amplitudeForeKnee amplitudeHindKnee offsetKnee kneePhaseLag frequency duration distance angle stability
0.4 0.4 0.0667 -0.0667 0.7133 0.2467 0.2 0.4 2 1.782 0.239844 0.169283 431.277 
0.4 0.4 0.0667 -0.0667 0.7133 0.2267 0.2 0.4 2 1.722 0.277369 0.173318 440.754 
0.4 0.4 0.0667 -0.0667 0.7133 0.2067 0.2 0.4 2 15 0 0.7352 486.133 
0.4 0.4 0.0667 -0.0667 0.7133 0.1867 0.2 0.4 2 6.068 0 0.173503 467.253 
0.4 0.4 0.0667 -0.0667 0.7133 0.1667 0.2 0.4 2 1.802 0.194679 0.172274 428.262 
0.4 0.4 0.0667 -0.0667 0.6933 0.5467 0.2 0.4 2 15 0.973148 0.85906 498.361 
0.4 0.4 0.0667 -0.0667 0.6933 0.5267 0.2 0.4 2 15 0.981693 0.868441 496.907 
0.4 0.4 0.0667 -0.0667 0.6933 0.5067 0.2 0.4 2 6.508 0.050807 0.170711 480.394 
0.4 0.4 0.0667 -0.0667 0.6933 0.4867 0.2 0.4 2 1.464 0 0.166918 443.615 
0.4 0.4 0.0667 -0.0667 0.6933 0.4667 0.2 0.4 2 1.628 0.169134 0.168364 444.537 
0.4 0.4 0.0667 -0.0667 0.6933 0.4467 0.2 0.4 2 1.622 0 0.172631 424.752 
0.4 0.4 0.0667 -0.0667 0.6933 0.4267 0.2 0.4 2 1.656 0.0866948 0.164777 440.921 
0.4 0.4 0.0667 -0.0667 0.6933 0.4067 0.2 0.4 2 1.898 0 0.16911 414.315 
0.4 0.4 0.0667 -0.0667 0.6933 0.3867 0.2 0.4 2 1.674 0 0.168723 397.981 
0.4 0.4 0.0667 -0.0667 0.6933 0.3667 0.2 0.4 2 1.478 0 0.167985 437.37 
0.4 0.4 0.0667 -0.0667 0.6933 0.3467 0.2 0.4 2 1.522 0.0551333 0.169973 392.486 
0.4 0.4 0.0667 -0.0667 0.6933 0.3267 0.2 0.4 2 15 0.558198 0.761819 485.185 
0.4 0.4 0.0667 -0.0667 0.6933 0.3067 0.2 0.4 2 1.506 0.0871665 0.171408 444.377 
0.4 0.4 0.0667 -0.0667 0.6933 0.2867 0.2 0.4 2 1.906 0.177754 0.172725 413.443 
0.4 0.4 0.0667 -0.0667 0.6933 0.2667 0.2 0.4 2 1.498 0 0.169768 443.393 
0.4 0.4 0.0667 -0.0667 0.6933 0.2467 0.2 0.4 2 1.462 0.0403159 0.173477 448.747 
0.4 0.4 0.0667 -0.0667 0.6933 0.2267 0.2 0.4 2 15 0 0.718373 481.299 
0.4 0.4 0.0667 -0.0667 0.6933 0.2067 0.2 0.4 2 2.234 0.0832532 0.173044 401.531 
0.4 0.4 0.0667 -0.0667 0.6933 0.1867 0.2 0.4 2 8.002 0 0.170258 481.58 
0.4 0.4 0.0667 -0.0667 0.6933 0.1667 0.2 0.4 2 4 0.108372 0.166543 473.859 
0.4 0.4 0.0667 -0.0667 0.6733 0.5467 0.2 0.4 2 2.1 0 0.173109 450.076 
0.4 0.4 0.0667 -0.0667 0.6733 0.5267 0.2 0.4 2 15 1.10432 0.846775 498.374 
0.4 0.4 0.0667 -0.0667 0.6733 0.5067 0.2 0.4 2 15 1.13611 0.847439 498.196 
0.4 0.4 0.0667 -0.0667 0.6733 0.4867 0.2 0.4 2 15 1.25022 0.849735 498.242 
0.4 0.4 0.0667 -0.0667 0.6733 0.4667 0.2 0.4 2 15 1.47493 0.764796 494.362 
0.4 0.4 0.0667 -0.0667 0.6733 0.4467 0.2 0.4 2 15 1.12963 0.681244 492.276 
0.4 0.4 0.0667 -0.0667 0.6733 0.4267 0.2 0.4 2 1.5 0 0.167185 443.309 
0.4 0.4 0.0667 -0.0667 0.6733 0.4067 0.2 0.4 2 15 1.18314 0.858161 496.365 
0.4 0.4 0.0667 -0.0667 0.6733 0.3867 0.2 0.4 2 15 0.693938 0.704184 484.36 
0.4 0.4 0.0667 -0.0667 0.6733 0.3667 0.2 0.4 2 1.596 0 0.170009 431.318 
0.4 0.4 0.0667 -0.0667 0.6733 0.3467 0.2 0.4 2 4.476 0.259459 0.172149 460.288 
0.4 0.4 0.0667 -0.0667 0.6733 0.3267 0.2 0.4 2 6.104 0.230226 0.172414 476.69 
0.4 0.4 0.0667 -0.0667 0.6733 0.3067 0.2 0.4 2 8.088 0.111375 0.172412 480.128 
0.4 0.4 0.0667 -0.0667 0.6733 0.2867 0.2 0.4 2 15 0 0.870667 490.602 
0.4 0.4 0.0667 -0.0667 0.6733 0.2667 0.2 0.4 2 7.976 0 0.172826 482.95 
0.4 0.4 0.0667 -0.0667 0.6733 0.2467 0.2 0.4 2 5.656 0.290702 0.173321 476.821 
0.4 0.4 0.0667 -0.0667 0.6733 0.2267 0.2 0.4 2 15 0 0.790628 483.671 
0.4 0.4 0.0667 -0.0667 0.6733 0.2067 0.2 0.4 2 6.502 0.132702 0.173557 477.276 
0.4 0.4 0.0667 -0.0667 0.6733 0.1867 0.2 0.4 2 6.826 0.182127 0.173281 469.777 
0.4 0.4 0.0667 -0.0667 0.6733 0.1667 0.2 0.4 2 7.01 0.276898 0.173117 483.989 
0.4 0.4 0.0667 -0.0667 0.6533 0.5467 0.2 0.4 2 15 0.835315 0.848187 497.766 
0.4 0.4 0.0667 -0.0667 0.6533 0.5267 0.2 0.4 2 15 1.00821 0.840786 498.106 
0.4 0.4 0.0667 -0.0667 0.6533 0.5067 0.2 0.4 2 15 1.06392 0.848362 498.085 
0.4 0.4 0.0667 -0.0667 0.6533 0.4867 0.2 0.4 2 15 1.26615 0.852436 498.324 
0.4 0.4 0.0667 -0.0667 0.6533 0.4667 0.2 0.4 2 15 1.41203 0.846074 498.344 
0.4 0.4 0.0667 -0.0667 0.6533 0.4467 0.2 0.4 2 1.578 0.179617 0.171449 441.446 
0.4 0.4 0.0667 -0.0667 0.6533 0.4267 0.2 0.4 2 15 0.89246 0.744204 490.75 
0.4 0.4 0.0667 -0.0667 0.6533 0.4067 0.2 0.4 2 15 1.45926 0.859511 497.046 
0.4 0.4 0.0667 -0.0667 0.6533 0.3867 0.2 0.4 2 15 1.14443 0.855995 496.253 
0.4 0.4 0.0667 -0.0667 0.6533 0.3667 0.2 0.4 2 15 0.559962 0.859651 494.517 
0.4 0.4 0.0667 -0.0667 0.6533 0.3467 0.2 0.4 2 15 0.210083 0.865153 489.406 
0.4 0.4 0.0667 -0.0667 0.6533 0.3267 0.2 0.4 2 15 0 0.871957 490.001 
0.4 0.4 0.0667 -0.0667 0.6533 0.3067 0.2 0.4 2 15 0 0.72356 483.788 
0.4 0.4 0.0667 -0.0667 0.6533 0.2867 0.2 0.4 2 9.95 0.280302 0.170479 482.357 
0.4 0.4 0.0667 -0.0667 0.6533 0.2667 0.2 0.4 2 15 0.240835 0.888324 490.531 
0.4 0.4 0.0667 -0.0667 0.6533 0.2467 0.2 0.4 2 12.986 0.248757 0.173165 472.285 
0.4 0.4 0.0667 -0.0667 0.6533 0.2267 0.2 0.4 2 15 0.0187266 0.876829 488.539 
0.4 0.4 0.0667 -0.0667 0.6533 0.2067 0.2 0.4 2 6.754 0.0390278 0.172159 468.891 
0.4 0.4 0.0667 -0.0667 0.6533 0.1867 0.2 0.4 2 15 0 0.784474 486.451 
0.4 0.4 0.0667 -0.0667 0.6533 0.1667 0.2 0.4 2 13.966 0.147494 0.168352 483.904 
0.4 0.4 0.0667 -0.0667 0.6333 0.5467 0.2 0.4 2 14.192 0 0.172002 478.593 
0.4 0.4 0.0667 -0.0667 0.6333 0.5267 0.2 0.4 2 15 0.929022 0.838726 497.623 
0.4 0.4 0.0667 -0.0667 0.6333 0.5067 0.2 0.4 2 15 1.15637 0.843559 498.149 
0.4 0.4 0.0667 -0.0667 0.6333 0.4867 0.2 0.4 2 15 1.32911 0.839891 498.327 
0.4 0.4 0.0667 -0.0667 0.6333 0.4667 0.2 0.4 2 15 1.38986 0.847105 498.321 
0.4 0.4 0.0667 -0.0667 0.6333 0.4467 0.2 0.4 2 15 1.50252 0.847253 498.339 
0.4 0.4 0.0667 -0.0667 0.6333 0.4267 0.2 0.4 2 3.964 0.307725 0.168446 450.775 
0.4 0.4 0.0667 -0.0667 0.6333 0.4067 0.2 0.4 2 3.588 0.137722 0.173298 445.777 
0.4 0.4 0.0667 -0.0667 0.6333 0.3867 0.2 0.4 2 15 0 0.849954 488.857 
0.4 0.4 0.0667 -0.0667 0.6333 0.3667 0.2 0.4 2 15 1.56903 0.862257 497.234 
0.4 0.4 0.0667 -0.0667 0.6333 0.3467 0.2 0.4 2 7.53 0.166321 0.167585 479.483 
0.4 0.4 0.0667 -0.0667 0.6333 0.3267 0.2 0.4 2 11.98 0.351707 0.173318 475.551 
0.4 0.4 0.0667 -0.0667 0.6333 0.3067 0.2 0.4 2 10.996 0.40216 0.171897 475.671 
0.4 0.4 0.0667 -0.0667 0.6333 0.2867 0.2 0.4 2 15 0.0584728 0.883137 490.402 
0.4 0.4 0.0667 -0.0667 0.6333 0.2667 0.2 0.4 2 15 0.265944 0.884254 492.289 
0.4 0.4 0.0667 -0.0667 0.6333 0.2467 0.2 0.4 2 13.29 0.195421 0.172484 480.686 
0.4 0.4 0.0667 -0.0667 0.6333 0.2267 0.2 0.4 2 6.572 0.193329 0.170317 476.9 
0.4 0.4 0.0667 -0.0667 0.6333 0.2067 0.2 0.4 2 15 0.201106 0.881809 489.346 
0.4 0.4 0.0667 -0.0667 0.6333 0.1867 0.2 0.4 2 3.48 0.192388 0.172139 445.313 
0.4 0.4 0.0667 -0.0667 0.6333 0.1667 0.2 0.4 2 15 0.145252 0.652045 483.933 
0.4 0.4 0.0667 -0.0667 0.6133 0.5467 0.2 0.4 2 10.9 0 0.167916 485.549 
0.4 0.4 0.0667 -0.0667 0.6133 0.5267 0.2 0.4 2 9.426 0.421049 0.173526 479.383 
0.4 0.4 0.0667 -0.0667 0.6133 0.5067 0.2 0.4 2 15 1.08644 0.843492 497.364 
0.4 0.4 0.0667 -0.0667 0.6133 0.4867 0.2 0.4 2 15 1.26545 0.843226 498.222 
0.4 0.4 0.0667 -0.0667 0.6133 0.4667 0.2 0.4 2 15 1.44794 0.851617 498.469 
0.4 0.4 0.0667 -0.0667 0.6133 0.4467 0.2 0.4 2 15 1.55883 0.852329 497.725 
0.4 0.4 0.0667 -0.0667 0.6133 0.4267 0.2 0.4 2 1.704 0.23829 0.169912 424.822 
0.4 0.4 0.0667 -0.0667 0.6133 0.4067 0.2 0.4 2 1.522 0.0294778 0.171981 448.058 
0.4 0.4 0.0667 -0.0667 0.6133 0.3867 0.2 0.4 2 15 1.66537 0.858896 497.172 
0.4 0.4 0.0667 -0.0667 0.6133 0.3667 0.2 0.4 2 15 1.1243 0.849356 493.421 
0.4 0.4 0.0667 -0.0667 0.6133 0.3467 0.2 0.4 2 2.248 0.0322345 0.166106 430.438 
0.4 0.4 0.0667 -0.0667 0.6133 0.3267 0.2 0.4 2 15 0.555888 0.822157 489.787 
0.4 0.4 0.0667 -0.0667 0.6133 0.3067 0.2 0.4 2 15 0.501968 0.878792 490.125 
0.4 0.4 0.0667 -0.0667 0.6133 0.2867 0.2 0.4 2 15 0.144503 0.878248 490.385 
0.4 0.4 0.0667 -0.0667 0.6133 0.2667 0.2 0.4 2 15 0.267489 0.894274 489.979 
0.4 0.4 0.0667 -0.0667 0.6133 0.2467 0.2 0.4 2 15 0.369246 0.846561 486.567 
0.4 0.4 0.0667 -0.0667 0.6133 0.2267 0.2 0.4 2 12.85 0 0.173319 483.28 
0.4 0.4 0.0667 -0.0667 0.6133 0.2067 0.2 0.4 2 9.986 0 0.160976 479.633 
0.4 0.4 0.0667 -0.0667 0.6133 0.1867 0.2 0.4 2 11.964 0 0.170128 479.707 
0.4 0.4 0.0667 -0.0667 0.6133 0.1667 0.2 0.4 2 15 0 0.829836 488.429 
0.4 0.4 0.0667 -0.0667 0.5933 0.5467 0.2 0.4 2 11.108 0.0917261 0.172748 477.827 
0.4 0.4 0.0667 -0.0667 0.5933 0.5267 0.2 0.4 2 15 0.139615 0.799919 487.244 
0.4 0.4 0.0667 -0.0667 0.5933 0.5067 0.2 0.4 2 11.13 0 0.170449 476.495 
0.4 0.4 0.0667 -0.0667 0.5933 0.4867 0.2 0.4 2 15 0.703602 0.842241 494.147 
0.4 0.4 0.0667 -0.0667 0.5933 0.4667 0.2 0.4 2 15 1.18703 0.857582 495.753 
0.4 0.4 0.0667 -0.0667 0.5933 0.4467 0.2 0.4 2 15 1.27702 0.8554 497.314 
0.4 0.4 0.0667 -0.0667 0.5933 0.4267 0.2 0.4 2 15 1.54886 0.856231 495.594 
0.4 0.4 0.0667 -0.0667 0.5933 0.4067 0.2 0.4 2 1.498 0 0.170651 441.196 
0.4 0.4 0.0667 -0.0667 0.5933 0.3867 0.2 0.4 2 8.022 0.308445 0.171918 468.042 
0.4 0.4 0.0667 -0.0667 0.5933 0.3667 0.2 0.4 2 1.778 0.147514 0.171117 427.525 
0.4 0.4 0.0667 -0.0667 0.5933 0.3467 0.2 0.4 2 15 1.82415 0.875379 498.128 
0.4 0.4 0.0667 -0.0667 0.5933 0.3267 0.2 0.4 2 15 1.1504 0.880894 496.038 
0.4 0.4 0.0667 -0.0667 0.5933 0.3067 0.2 0.4 2 15 0.287813 0.870919 489.127 
0.4 0.4 0.0667 -0.0667 0.5933 0.2867 0.2 0.4 2 15 0.323857 0.856115 487.515 
0.4 0.4 0.0667 -0.0667 0.5933 0.2667 0.2 0.4 2 15 0.223436 0.887021 488.253 
0.4 0.4 0.0667 -0.0667 0.5933 0.2467 0.2 0.4 2 15 0.297404 0.702816 485.294 
0.4 0.4 0.0667 -0.0667 0.5933 0.2267 0.2 0.4 2 7.442 0.134661 0.169037 478.542 
0.4 0.4 0.0667 -0.0667 0.5933 0.2067 0.2 0.4 2 9.208 0.153717 0.172567 471.931 
0.4 0.4 0.0667 -0.0667 0.5933 0.1867 0.2 0.4 2 15 0 0.740364 480.447 
0.4 0.4 0.0667 -0.0667 0.5933 0.1667 0.2 0.4 2 4.122 0 0.170856 460.748 
0.4 0.4 0.0667 -0.0667 0.5733 0.5467 0.2 0.4 2 3.354 0 0.172551 462.493 
0.4 0.4 0.0667 -0.0667 0.5733 0.5267 0.2 0.4 2 15 0.965098 0.80393 493.916 
0.4 0.4 0.0667 -0.0667 0.5733 0.5067 0.2 0.4 2 15 0.607 0.768128 489.158 
0.4 0.4 0.0667 -0.0667 0.5733 0.4867 0.2 0.4 2 15 0.868907 0.846485 494.44 
0.4 0.4 0.0667 -0.0667 0.5733 0.4667 0.2 0.4 2 15 1.05979 0.853839 496.677 
