distance x y z pitch roll
0.0662909 0.0677637 0.128472 0.00754067 -0.253424 -3.49165
0.0670057 0.0684766 0.128429 0.00776189 -0.313976 -3.58734
0.0677213 0.0691902 0.128361 0.00798675 -0.375893 -3.6853
0.0684371 0.0699041 0.128269 0.00821548 -0.439205 -3.78568
0.0691527 0.0706177 0.128152 0.00844828 -0.50397 -3.88865
0.0698674 0.0713304 0.12801 0.00868538 -0.570269 -3.99437
0.0705808 0.0720417 0.127842 0.00892699 -0.638205 -4.10303
0.0712922 0.072751 0.127647 0.00917336 -0.707896 -4.21481
0.0720009 0.0734576 0.127426 0.0094247 -0.779475 -4.3299
0.0727064 0.0741608 0.127177 0.00968128 -0.853089 -4.44849
0.0734078 0.07486 0.1269 0.00994334 -0.928896 -4.57079
0.0741045 0.0755544 0.126595 0.0102112 -1.00706 -4.69704
0.074796 0.0762436 0.126262 0.0104848 -1.08807 -4.82731
0.075482 0.0769271 0.125902 0.0107642 -1.17241 -4.96173
0.0761619 0.0776046 0.125514 0.0110495 -1.26059 -5.10042
0.0768354 0.0782757 0.125099 0.0113408 -1.3531 -5.24351
0.0775021 0.0789398 0.124657 0.011638 -1.45044 -5.39117
0.0781614 0.0795966 0.124189 0.0119414 -1.5531 -5.54354
0.0788018 0.0802332 0.123742 0.0121896 -1.59168 -5.66518
0.0794201 0.0808472 0.123309 0.0123918 -1.58181 -5.7694
0.0800176 0.0814442 0.122895 0.0125639 -1.54349 -5.84278
0.0805923 0.0820148 0.122484 0.0126868 -1.44923 -5.91644
0.0811442 0.0825619 0.122081 0.0127832 -1.32536 -5.98139
0.0816719 0.0830849 0.121672 0.0128494 -1.18892 -6.03758
0.0821752 0.0835829 0.121261 0.0129007 -1.04321 -6.08814
0.0826636 0.0840681 0.120857 0.0129394 -0.902496 -6.12282
0.0831275 0.0845274 0.120416 0.0129541 -0.750948 -6.1619
0.0835632 0.0849579 0.119966 0.0129516 -0.603435 -6.19213
0.0839714 0.0853606 0.119512 0.0129381 -0.456216 -6.21843
0.0843643 0.0857503 0.11907 0.0129119 -0.32048 -6.22754
0.0847289 0.0861103 0.118588 0.012862 -0.17295 -6.24132
0.0850617 0.086438 0.118102 0.012793 -0.0296662 -6.24445
0.0853722 0.086746 0.117634 0.0127028 0.0964544 -6.225
0.0856501 0.0870195 0.117143 0.0126031 0.243669 -6.21184
0.0858953 0.0872605 0.116643 0.0124755 0.386948 -6.18877
0.0861199 0.087484 0.116173 0.0123353 0.517441 -6.13856
0.086309 0.0876701 0.115668 0.0121675 0.666641 -6.09514
0.0864603 0.0878183 0.115166 0.0119756 0.814182 -6.0378
0.0865904 0.0879489 0.1147 0.0117695 0.949314 -5.95153
0.0867042 0.0880609 0.114341 0.011611 1.03969 -5.9052
0.0867998 0.0881565 0.114117 0.0114954 1.07698 -5.85792
0.0869052 0.0882639 0.114074 0.0114365 1.05314 -5.82023
0.0869962 0.0883519 0.114104 0.0113881 1.02444 -5.81865
0.0870854 0.088442 0.114258 0.0113691 0.96515 -5.79438
0.0871574 0.0885106 0.11445 0.0113396 0.917535 -5.79612
0.0872243 0.0885782 0.114737 0.0113266 0.850295 -5.77129
0.0872781 0.0886282 0.115049 0.0113095 0.808276 -5.77242
0.0873306 0.0886798 0.115425 0.0112766 0.745703 -5.75138
0.0873838 0.088734 0.115857 0.0112542 0.685401 -5.7184
0.0874294 0.0887766 0.116291 0.0112377 0.657929 -5.71171
0.0874675 0.0888126 0.11676 0.011212 0.623256 -5.69617
0.0875029 0.088848 0.11729 0.0111931 0.576384 -5.6642
0.0875318 0.0888739 0.117819 0.011173 0.556754 -5.65106
0.08756 0.0889011 0.118366 0.0111267 0.532697 -5.61525
0.0875705 0.0889092 0.11888 0.011067 0.547066 -5.58127
0.0875725 0.0889113 0.119404 0.010991 0.563196 -5.52405
0.0875723 0.0889132 0.119916 0.0109034 0.594688 -5.45238
0.0875618 0.0889035 0.120371 0.0107906 0.663098 -5.40351
0.0875309 0.088872 0.120819 0.0106618 0.739204 -5.33537
0.0874892 0.088832 0.121274 0.0105199 0.812337 -5.24644
0.087436 0.0887789 0.12169 0.0103633 0.915552 -5.16614
0.0873767 0.0887217 0.122105 0.0101823 1.01269 -5.06679
0.0873001 0.0886462 0.122486 0.00999167 1.13614 -4.9714
0.087207 0.0885542 0.122853 0.0097869 1.26819 -4.87038
0.0871057 0.0884562 0.123225 0.00956818 1.39691 -4.7516
0.0869954 0.0883482 0.123554 0.00933789 1.55523 -4.64094
0.0868794 0.0882361 0.123883 0.00909326 1.70976 -4.5129
0.0867565 0.0881164 0.124167 0.00883873 1.89303 -4.39272
0.0866286 0.0879933 0.124449 0.00857011 2.07161 -4.25651
0.0864973 0.0878664 0.124682 0.00828949 2.27584 -4.1269
0.0863481 0.0877217 0.124899 0.00799773 2.48291 -3.99192
0.0861896 0.0875694 0.125119 0.00769303 2.68205 -3.84158
0.0860233 0.0874087 0.125293 0.00738082 2.90814 -3.69928
0.0858505 0.0872429 0.125466 0.00705503 3.12708 -3.54212
0.0856727 0.0870716 0.12559 0.00672354 3.37249 -3.39244
0.0854844 0.0868903 0.125693 0.00638209 3.62256 -3.2386
0.0852911 0.0867049 0.125793 0.00602721 3.86558 -3.07326
0.0850938 0.0865153 0.125845 0.00566881 4.13315 -2.91347
0.0849226 0.0863511 0.125989 0.00535566 4.35037 -2.77404
0.0847933 0.0862277 0.12628 0.00510013 4.49432 -2.6548
0.0847019 0.0861414 0.126664 0.00488595 4.60221 -2.5514
0.0846406 0.0860839 0.12709 0.00471094 4.70502 -2.47258
0.0845979 0.0860448 0.127585 0.00455834 4.77708 -2.39469
0.0845768 0.086027 0.128123 0.0044228 4.83621 -2.3243
0.0845778 0.0860309 0.128691 0.00430363 4.88943 -2.26146
0.0845993 0.0860546 0.129269 0.00420203 4.94613 -2.21238
0.0846343 0.0860918 0.129877 0.00411551 4.98872 -2.16389
0.0846855 0.0861447 0.130504 0.00404127 5.02454 -2.12088
0.0847531 0.0862139 0.131143 0.00397935 5.05617 -2.08348
0.0848371 0.0862991 0.131792 0.00392981 5.08425 -2.05162
0.0849367 0.0863997 0.132449 0.00389244 5.10872 -2.02511
0.0850511 0.0865147 0.133111 0.00386671 5.12927 -2.00362
0.0851793 0.0866433 0.133778 0.00385182 5.14567 -1.98676
0.0853207 0.0867849 0.134448 0.00384712 5.15807 -1.9742
0.0854748 0.0869389 0.135118 0.00385208 5.1668 -1.9657
0.0856411 0.0871049 0.135788 0.00386627 5.17236 -1.96106
0.0858194 0.0872827 0.136456 0.00388938 5.17535 -1.96011
0.0860098 0.0874725 0.137119 0.00392115 5.17636 -1.96273
0.0862124 0.0876742 0.137778 0.00396141 5.17597 -1.96881
0.0864274 0.0878881 0.138429 0.00400987 5.17495 -1.97817
0.0866543 0.0881137 0.139066 0.00406488 5.17585 -1.98993
0.0869421 0.0884002 0.139665 0.00413254 5.23622 -1.99138
0.0872464 0.0887027 0.140244 0.00420381 5.29729 -2.00422
0.087558 0.0890123 0.1408 0.00428368 5.35152 -2.02294
0.0878758 0.0893281 0.141323 0.0043686 5.40463 -2.0491
0.0881969 0.0896472 0.141807 0.00445522 5.45923 -2.07762
0.0885196 0.0899678 0.142249 0.00454194 5.51588 -2.10649
0.0888428 0.0902889 0.142651 0.00462873 5.57334 -2.13602
0.0891658 0.0906099 0.143013 0.00471549 5.63084 -2.16623
0.0894884 0.0909304 0.143335 0.00480215 5.68794 -2.19706
0.0898102 0.0912501 0.143618 0.00488867 5.74438 -2.22839
0.0901311 0.0915689 0.143861 0.00497501 5.80003 -2.26011
0.0904511 0.0918867 0.144066 0.00506116 5.85486 -2.2921
0.0907702 0.0922036 0.144231 0.0051471 5.90888 -2.32427
0.0910883 0.0925196 0.144357 0.00523286 5.96213 -2.35655
0.0914056 0.0928346 0.144445 0.00531844 6.01467 -2.38888
0.0917234 0.0931501 0.144498 0.00540592 6.06383 -2.42414
0.0920431 0.0934675 0.144521 0.00549733 6.10722 -2.46503
0.0923659 0.093788 0.144518 0.00559415 6.14318 -2.5135
0.0926929 0.0941125 0.14449 0.00569724 6.17095 -2.57056
0.0930243 0.0944414 0.144437 0.00580683 6.19052 -2.63637
0.0933603 0.0947749 0.144359 0.00592266 6.20242 -2.71048
0.0937007 0.0951127 0.144254 0.00604425 6.20745 -2.79214
0.0940451 0.0954545 0.144122 0.00617101 6.20643 -2.8805
0.0943933 0.0958 0.14396 0.00630244 6.20002 -2.97486
0.0947448 0.096149 0.143769 0.00643822 6.18863 -3.07477
0.0950997 0.0965012 0.143547 0.00657823 6.1724 -3.18008
0.0954578 0.0968568 0.143295 0.00672254 6.15122 -3.29086
0.0958192 0.0972157 0.143014 0.00687134 6.12484 -3.40739
0.0961842 0.0975782 0.142704 0.00702491 6.09293 -3.53001
0.0965528 0.0979445 0.142365 0.00718356 6.05514 -3.65913
0.0969254 0.0983148 0.141998 0.00734755 6.01116 -3.79507
0.097302 0.0986892 0.141603 0.00751712 5.96074 -3.93814
0.0976979 0.0990821 0.141224 0.0076774 5.93414 -3.99994
0.0981139 0.0994944 0.140869 0.00782434 5.91969 -4.05947
0.098549 0.0999259 0.140537 0.00796572 5.91391 -4.11747
0.0990047 0.100378 0.140232 0.00809668 5.92697 -4.17212
0.0994766 0.100847 0.139944 0.0082205 5.95215 -4.22517
0.0999623 0.101329 0.139665 0.00834054 5.98364 -4.2779
0.100458 0.101821 0.139386 0.0084562 6.02036 -4.32974
0.10096 0.102321 0.139099 0.0085678 6.06052 -4.38095
0.101467 0.102825 0.1388 0.00867546 6.10283 -4.43158
0.101978 0.103332 0.138484 0.00877899 6.14647 -4.48157
0.102489 0.103841 0.13815 0.00887802 6.19091 -4.5308
0.103001 0.104351 0.137849 0.0089434 6.20295 -4.55263
0.103512 0.10486 0.137572 0.0089786 6.18531 -4.56031
0.104021 0.105367 0.137312 0.00898915 6.14224 -4.55844
0.104527 0.105873 0.137061 0.00897914 6.07703 -4.55031
0.10503 0.106378 0.136819 0.00895263 5.99131 -4.53948
0.105531 0.106882 0.13659 0.00890529 5.88403 -4.52207
0.106031 0.107385 0.136368 0.00884151 5.75797 -4.49789
0.106532 0.10789 0.136148 0.00876138 5.61816 -4.46689
0.107032 0.108394 0.135918 0.00865888 5.47033 -4.4271
0.10753 0.108897 0.135689 0.00854397 5.30761 -4.38118
0.108029 0.1094 0.135457 0.00841471 5.13323 -4.32894
0.108528 0.109905 0.135221 0.00827042 4.94852 -4.27007
0.109028 0.110411 0.134974 0.00810371 4.75696 -4.2022
0.109527 0.110916 0.134727 0.00792467 4.55005 -4.12788
0.110027 0.111422 0.134479 0.0077307 4.33031 -4.04678
0.110529 0.111931 0.134227 0.00752079 4.09862 -3.95846
0.111032 0.112441 0.133967 0.00728723 3.85818 -3.86072
0.111536 0.112952 0.133709 0.00704035 3.60077 -3.75562
0.112042 0.113465 0.133451 0.00677736 3.32882 -3.64308
